,feature,value
1,task_container_id,382
6,retention,337
0,content_id,327
15,shift_elapsed_time,320
2,days,288
26,part,241
14,shift_event_time,200
17,lag_time,193
25,bundle_id,181
22,bundle_lag_time,167
4,prior_minutes,163
16,event_lag_time,127
8,has_seen_same_tag_as_lecture,40
24,tag_has_above_average_correctness,36
27,has_seen_question_explanation,36
18,question_answered_late,34
20,question_took_more_than_average_user_time,24
21,has_more_than_average_bundle_time,19
9,has_seen_same_part_as_lecture,16
12,has_tag_common_with_part_dict,14
7,has_seen_lecture_before,12
19,event_time_greater_than_average,11
11,has_tag_common_with_type_of,7
10,has_part_common_with_type_of,5
5,intro_section,0
13,has_type_of_common_with_part_dict,0
23,question_has_above_average_correctness,0
3,hours,0
